Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All  Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke
Maryland,2017,34,08/26/2017,912,806,20,199,30,18,18,39,,17,,202,52,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,35,09/02/2017,861,773,15,200,31,17,11,30,17,17,,194,46,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2017,36,09/09/2017,937,815,21,209,31,16,12,41,10,21,,216,47,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2017,37,09/16/2017,947,838,19,214,19,26,22,31,,18,,210,59,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,38,09/23/2017,886,805,14,181,32,22,17,36,11,13,0,213,51,,,,,,,,,,,,,
Maryland,2017,39,09/30/2017,893,790,23,178,27,20,22,36,,14,,212,55,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,40,10/07/2017,912,822,14,214,14,18,15,38,,20,,222,49,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,41,10/14/2017,903,793,13,218,23,16,13,33,13,,,206,48,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2017,42,10/21/2017,914,821,19,215,27,22,18,37,12,17,,197,45,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2017,43,10/28/2017,971,876,23,225,29,28,14,37,,12,,200,62,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,44,11/04/2017,888,794,10,196,28,19,11,39,12,15,,202,54,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2017,45,11/11/2017,983,871,16,222,16,25,20,31,10,24,,229,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2017,46,11/18/2017,971,880,11,197,30,28,,33,17,20,,222,63,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2017,47,11/25/2017,938,847,15,210,30,18,15,39,,,,211,47,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2017,48,12/02/2017,982,891,19,225,19,31,11,31,,15,,242,58,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,49,12/09/2017,950,841,18,208,25,15,17,47,15,16,,194,60,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2017,50,12/16/2017,993,869,13,198,32,27,12,50,,15,,222,56,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,51,12/23/2017,1052,937,15,221,31,40,17,39,,16,,247,60,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2017,52,12/30/2017,1039,946,23,190,37,26,22,50,,19,,259,62,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,1,01/06/2018,1105,994,27,214,28,31,28,52,11,22,,261,62,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,2,01/13/2018,1184,1071,25,212,29,33,34,60,16,19,,278,58,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,3,01/20/2018,1092,1006,18,229,32,31,37,44,11,16,,274,68,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,4,01/27/2018,1103,983,24,190,28,30,38,53,16,23,,275,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,5,02/03/2018,1012,911,19,216,27,32,32,57,,18,,235,57,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,6,02/10/2018,1054,952,31,218,39,26,31,49,,23,,232,61,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,7,02/17/2018,1057,965,21,215,35,26,26,62,18,17,,257,49,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,8,02/24/2018,1080,956,21,198,41,21,43,53,12,25,,250,51,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,9,03/03/2018,987,880,11,191,27,21,33,43,10,13,,253,58,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,10,03/10/2018,999,913,19,230,21,22,21,42,13,18,,218,49,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,11,03/17/2018,1007,899,19,225,26,22,29,56,17,19,,214,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,12,03/24/2018,915,818,11,190,17,25,17,36,10,10,,240,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,13,03/31/2018,1001,889,24,188,26,27,24,44,,21,,251,61,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,14,04/07/2018,936,815,15,203,30,19,17,37,12,19,,226,52,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,15,04/14/2018,1016,903,24,209,27,20,24,47,13,14,,210,63,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,16,04/21/2018,928,825,12,212,25,15,19,55,14,12,,208,47,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,17,04/28/2018,920,820,14,198,29,13,14,54,16,14,,204,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,18,05/05/2018,917,813,15,201,26,17,17,54,12,11,,216,54,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,19,05/12/2018,936,820,12,191,25,12,11,39,,10,,227,49,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,20,05/19/2018,858,773,18,199,25,14,,40,12,13,,192,43,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2018,21,05/26/2018,899,804,14,229,22,12,18,38,10,14,,200,48,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,22,06/02/2018,858,752,18,199,28,17,14,46,,18,,179,48,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,23,06/09/2018,986,853,,196,23,15,,53,,19,,218,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,24,06/16/2018,865,763,,201,30,16,15,37,18,,,194,51,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2018,25,06/23/2018,870,782,18,199,30,17,15,48,13,14,,188,57,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,26,06/30/2018,949,820,10,197,23,17,12,36,12,15,,230,61,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,27,07/07/2018,957,843,15,205,38,20,15,40,,12,,228,66,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,28,07/14/2018,897,804,20,189,26,16,12,54,14,11,,188,52,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,29,07/21/2018,931,836,24,197,32,17,15,39,10,21,,229,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,30,07/28/2018,864,779,14,210,30,16,10,35,13,18,,192,47,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,31,08/04/2018,943,849,17,220,32,10,16,34,,19,,214,48,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,32,08/11/2018,862,769,19,195,25,23,15,22,11,20,,182,42,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,33,08/18/2018,900,814,18,212,24,28,,35,11,14,,210,50,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2018,34,08/25/2018,875,791,11,222,26,21,13,41,14,13,,178,47,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,35,09/01/2018,903,819,14,200,24,34,11,41,12,16,,210,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,36,09/08/2018,875,766,12,190,24,23,13,34,11,11,,206,42,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,37,09/15/2018,872,776,16,220,25,28,10,30,11,16,,185,40,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,38,09/22/2018,908,795,18,212,24,14,,27,14,17,,200,44,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2018,39,09/29/2018,883,783,16,200,15,15,15,39,,11,,181,50,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,40,10/06/2018,960,854,22,214,25,23,18,26,12,23,,211,54,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,41,10/13/2018,894,808,20,190,23,24,13,34,12,15,,209,56,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,42,10/20/2018,979,870,24,227,38,18,15,46,10,11,,241,45,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,43,10/27/2018,977,889,19,215,24,18,,46,12,27,,242,58,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2018,44,11/03/2018,1021,916,16,232,26,17,23,28,10,17,,236,57,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,45,11/10/2018,929,826,15,225,22,20,,31,,12,,191,59,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,46,11/17/2018,962,873,13,245,29,26,19,41,13,16,,205,54,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,47,11/24/2018,959,879,18,194,28,27,19,45,,14,,249,67,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,48,12/01/2018,1003,899,21,208,26,27,18,39,12,21,,254,65,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,49,12/08/2018,1020,921,26,222,35,22,20,42,,18,,221,62,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2018,50,12/15/2018,1021,923,12,212,22,25,17,37,16,25,,226,69,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,51,12/22/2018,1102,1002,19,232,30,27,23,57,13,14,,273,68,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2018,52,12/29/2018,987,906,13,206,28,30,19,48,14,17,,243,52,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,1,01/05/2019,1041,918,20,194,35,33,22,51,15,11,,255,67,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,2,01/12/2019,997,884,20,212,42,25,17,45,11,11,,211,60,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,3,01/19/2019,982,881,13,220,34,21,14,44,,16,,236,54,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,4,01/26/2019,1022,932,25,217,37,15,17,44,19,19,,240,53,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,5,02/02/2019,1103,989,27,222,32,20,21,61,14,19,,241,74,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,6,02/09/2019,1062,951,20,219,40,27,21,36,10,21,,231,59,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,7,02/16/2019,952,865,16,207,22,23,26,47,14,16,,221,50,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,8,02/23/2019,939,852,15,210,26,20,22,45,,19,,212,59,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,9,03/02/2019,1090,970,20,198,43,18,23,49,,23,,259,55,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,10,03/09/2019,1032,922,23,208,40,19,22,57,10,11,,255,51,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,11,03/16/2019,1035,938,15,238,28,18,21,50,13,17,,223,61,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,12,03/23/2019,1043,962,26,207,26,14,28,70,14,19,,257,55,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,13,03/30/2019,1024,896,25,207,28,24,22,47,14,21,,223,52,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,14,04/06/2019,1049,942,,249,26,17,19,54,20,19,,230,53,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,15,04/13/2019,998,882,22,193,36,21,19,45,,12,,207,62,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,16,04/20/2019,984,888,15,182,35,25,18,41,12,14,,256,52,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,17,04/27/2019,938,843,19,203,23,21,20,42,14,17,,223,45,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,18,05/04/2019,1010,897,20,225,29,19,18,30,22,10,,239,56,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,19,05/11/2019,896,780,14,185,23,18,15,35,,11,,208,47,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,20,05/18/2019,931,833,14,207,14,14,11,36,,13,,241,44,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,21,05/25/2019,916,827,13,205,30,22,14,40,,,,220,46,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2019,22,06/01/2019,899,815,13,195,22,20,15,35,10,15,,214,59,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,23,06/08/2019,885,778,17,188,22,19,12,48,,14,,191,49,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,24,06/15/2019,963,865,21,208,30,19,16,47,12,13,,211,54,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,25,06/22/2019,930,842,14,208,26,15,11,24,10,10,,222,55,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,26,06/29/2019,920,799,12,207,28,25,20,44,,14,,194,55,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,27,07/06/2019,903,817,24,205,28,21,14,37,11,11,,209,51,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,28,07/13/2019,870,779,16,219,27,14,14,42,14,11,,174,55,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,29,07/20/2019,951,855,17,207,31,20,,40,14,19,,225,46,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2019,30,07/27/2019,914,800,10,198,20,21,10,33,14,14,,234,42,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,31,08/03/2019,896,780,,202,19,22,13,34,17,13,,231,45,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,32,08/10/2019,930,815,20,230,28,26,,39,,19,,192,57,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,33,08/17/2019,900,776,15,192,19,26,12,33,10,20,,205,57,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,34,08/24/2019,877,771,14,201,19,10,13,27,11,12,,190,55,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,35,08/31/2019,916,817,13,205,27,16,18,39,15,12,,208,55,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,36,09/07/2019,925,792,13,197,28,16,,28,10,13,,212,50,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2019,37,09/14/2019,883,774,,187,28,11,,30,,,,239,58,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2019,38,09/21/2019,902,797,13,195,20,20,,33,10,14,,205,65,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2019,39,09/28/2019,916,809,16,212,27,18,10,39,11,,,227,48,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2019,40,10/05/2019,891,785,,192,20,13,11,28,12,16,,209,50,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,41,10/12/2019,939,817,11,204,26,19,,33,13,15,,200,62,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Maryland,2019,42,10/19/2019,981,881,19,196,25,20,,43,,12,,226,64,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,43,10/26/2019,988,902,15,228,29,26,19,37,,15,,225,75,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,44,11/02/2019,940,841,16,192,32,23,11,46,12,12,,211,65,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,45,11/09/2019,998,895,18,228,37,19,14,31,15,13,,232,55,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,46,11/16/2019,1024,918,16,215,29,24,11,41,,13,,229,67,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,47,11/23/2019,1035,943,15,211,34,20,15,37,17,,,255,68,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2019,48,11/30/2019,1023,927,10,228,39,22,17,42,17,12,,254,57,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,49,12/07/2019,973,879,13,206,35,21,12,28,,,,229,62,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Maryland,2019,50,12/14/2019,1000,911,22,197,40,25,15,48,,14,,238,68,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Maryland,2019,51,12/21/2019,962,854,13,192,26,19,15,56,17,15,,213,61,,,,,,,,,,,Suppressed (counts 1-9),,
Maryland,2019,52,12/28/2019,1053,939,28,179,29,20,16,50,,13,,256,72,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Massachusetts,2014,1,01/04/2014,1074,1028,14,262,24,36,26,50,14,19,32,260,40,,,,,,,,,,,,,
Massachusetts,2014,2,01/11/2014,1145,1063,23,250,22,34,36,62,19,20,22,233,43,,,,,,,,,,,,,
Massachusetts,2014,3,01/18/2014,1125,1054,20,257,29,41,28,49,17,30,10,239,57,,,,,,,,,,,,,
Massachusetts,2014,4,01/25/2014,1183,1119,26,270,24,40,31,56,17,28,20,264,53,,,,,,,,,,,,,
Massachusetts,2014,5,02/01/2014,1090,1024,18,243,24,40,35,56,20,30,17,234,45,,,,,,,,,,,,,
Massachusetts,2014,6,02/08/2014,1125,1044,10,228,23,49,34,71,18,29,25,228,53,,,,,,,,,,,,,
Massachusetts,2014,7,02/15/2014,1215,1135,17,276,24,39,36,59,12,34,14,267,40,,,,,,,,,,,,,
Massachusetts,2014,8,02/22/2014,1163,1097,19,266,24,39,29,49,16,28,25,271,54,,,,,,,,,,,,,
Massachusetts,2014,9,03/01/2014,1159,1079,18,263,24,27,33,50,14,35,17,258,63,,,,,,,,,,,,,
Massachusetts,2014,10,03/08/2014,1186,1111,21,273,28,35,27,62,15,29,20,259,45,,,,,,,,,,,,,
Massachusetts,2014,11,03/15/2014,1123,1064,17,260,22,40,34,58,23,23,17,252,44,,,,,,,,,,,,,
Massachusetts,2014,12,03/22/2014,1147,1084,20,251,15,44,30,70,14,38,19,247,58,,,,,,,,,,,,,
Massachusetts,2014,13,03/29/2014,1086,1018,14,262,21,33,32,52,16,25,19,239,35,,,,,,,,,,,,,
Massachusetts,2014,14,04/05/2014,1111,1050,15,234,30,34,37,51,17,29,24,249,52,,,,,,,,,,,,,
Massachusetts,2014,15,04/12/2014,1198,1129,18,287,23,32,37,63,21,21,24,271,48,,,,,,,,,,,,,
Massachusetts,2014,16,04/19/2014,1148,1092,14,246,25,35,41,46,17,31,21,244,57,,,,,,,,,,,,,
Massachusetts,2014,17,04/26/2014,1143,1084,14,250,27,37,36,58,11,20,29,243,67,,,,,,,,,,,,,
Massachusetts,2014,18,05/03/2014,1120,1060,17,277,31,23,39,63,21,23,18,219,45,,,,,,,,,,,,,
Massachusetts,2014,19,05/10/2014,1117,1052,15,256,28,38,43,56,17,22,18,232,57,,,,,,,,,,,,,
Massachusetts,2014,20,05/17/2014,1062,1005,14,258,27,31,28,46,11,14,27,232,44,,,,,,,,,,,,,
Massachusetts,2014,21,05/24/2014,1060,990,21,273,26,28,17,55,20,25,25,213,31,,,,,,,,,,,,,
Massachusetts,2014,22,05/31/2014,1041,954,19,270,22,30,25,35,16,24,23,211,53,,,,,,,,,,,,,
Massachusetts,2014,23,06/07/2014,951,880,11,226,23,19,24,39,12,17,20,219,45,,,,,,,,,,,,,
Massachusetts,2014,24,06/14/2014,1052,982,19,260,15,18,26,62,,25,14,211,46,,,,,,,,,Suppressed (counts 1-9),,,,
Massachusetts,2014,25,06/21/2014,1029,974,19,267,25,32,26,48,11,23,28,203,32,,,,,,,,,,,,,
Massachusetts,2014,26,06/28/2014,1009,940,16,274,22,36,28,36,12,22,14,208,32,,,,,,,,,,,,,
Massachusetts,2014,27,07/05/2014,1068,1004,19,291,23,34,26,48,12,22,23,221,38,,,,,,,,,,,,,
Massachusetts,2014,28,07/12/2014,941,882,19,226,14,17,11,42,22,18,30,189,34,,,,,,,,,,,,,
Massachusetts,2014,29,07/19/2014,976,916,12,238,26,31,22,47,10,13,21,189,57,,,,,,,,,,,,,
Massachusetts,2014,30,07/26/2014,977,907,14,234,16,21,28,45,19,18,17,205,50,,,,,,,,,,,,,
Massachusetts,2014,31,08/02/2014,1003,937,15,240,11,25,20,39,12,27,26,214,50,,,,,,,,,,,,,
Massachusetts,2014,32,08/09/2014,1018,942,11,255,28,32,30,42,19,25,17,191,40,,,,,,,,,,,,,
Massachusetts,2014,33,08/16/2014,967,903,,258,23,30,26,43,15,25,13,204,38,,,Suppressed (counts 1-9),,,,,,,,,,
Massachusetts,2014,34,08/23/2014,943,877,16,233,36,27,13,40,17,17,23,177,39,,,,,,,,,,,,,
Massachusetts,2014,35,08/30/2014,1004,935,12,222,17,28,26,35,13,24,21,225,48,,,,,,,,,,,,,
Massachusetts,2014,36,09/06/2014,988,927,17,240,28,23,20,44,,19,30,202,44,,,,,,,,,Suppressed (counts 1-9),,,,
Massachusetts,2014,37,09/13/2014,1008,936,18,227,22,26,18,40,15,22,27,207,53,,,,,,,,,,,,,
Massachusetts,2014,38,09/20/2014,962,903,13,220,23,27,23,43,12,18,28,223,50,,,,,,,,,,,,,
Massachusetts,2014,39,09/27/2014,983,930,14,252,22,22,22,34,13,34,26,206,40,,,,,,,,,,,,,
Massachusetts,2014,40,10/04/2014,1074,1004,13,247,24,35,27,35,19,16,21,260,40,,,,,,,,,,,,,
Massachusetts,2014,41,10/11/2014,1033,960,14,237,22,30,23,54,20,16,17,212,62,,,,,,,,,,,,,
Massachusetts,2014,42,10/18/2014,1031,965,16,258,18,28,26,40,15,18,26,225,51,,,,,,,,,,,,,
Massachusetts,2014,43,10/25/2014,1062,999,13,249,19,30,18,48,15,25,29,238,51,,,,,,,,,,,,,
Massachusetts,2014,44,11/01/2014,1066,1006,20,241,18,43,19,56,22,26,44,190,59,,,,,,,,,,,,,
Massachusetts,2014,45,11/08/2014,1114,1054,19,239,16,39,24,58,21,26,45,232,54,,,,,,,,,,,,,
Massachusetts,2014,46,11/15/2014,1085,1026,14,266,23,39,26,53,11,23,34,225,45,,,,,,,,,,,,,
Massachusetts,2014,47,11/22/2014,1110,1036,18,262,16,31,21,36,17,25,53,216,61,,,,,,,,,,,,,
Massachusetts,2014,48,11/29/2014,1089,1038,11,227,22,37,24,42,14,27,45,245,51,,,,,,,,,,,,,
Massachusetts,2014,49,12/06/2014,1071,1011,15,221,30,34,15,53,19,16,48,238,41,,,,,,,,,,,,,
Massachusetts,2014,50,12/13/2014,1209,1135,18,283,28,33,30,56,10,30,37,273,49,,,,,,,,,,,,,
Massachusetts,2014,51,12/20/2014,1092,1030,17,244,29,30,33,65,14,23,63,214,56,,,,,,,,,,,,,
Massachusetts,2014,52,12/27/2014,1115,1056,18,251,28,50,28,55,14,25,60,236,42,,,,,,,,,,,,,
Massachusetts,2014,53,01/03/2015,1178,1107,19,249,25,35,34,64,17,30,59,246,44,,,,,,,,,,,,,
Massachusetts,2015,1,01/10/2015,1302,1225,19,265,31,42,49,64,16,30,23,282,71,,,,,,,,,,,,,
Massachusetts,2015,2,01/17/2015,1329,1258,22,275,36,39,46,77,19,31,29,284,57,,,,,,,,,,,,,
Massachusetts,2015,3,01/24/2015,1347,1279,21,270,46,38,66,70,22,31,20,273,62,,,,,,,,,,,,,
Massachusetts,2015,4,01/31/2015,1402,1322,22,264,37,55,71,73,26,28,35,298,67,,,,,,,,,,,,,
Massachusetts,2015,5,02/07/2015,1400,1309,22,240,48,50,84,64,18,20,32,298,56,,,,,,,,,,,,,
Massachusetts,2015,6,02/14/2015,1347,1287,24,246,37,51,73,65,18,30,28,279,64,,,,,,,,,,,,,
Massachusetts,2015,7,02/21/2015,1299,1218,24,245,36,41,66,75,13,32,26,272,49,,,,,,,,,,,,,
Massachusetts,2015,8,02/28/2015,1222,1145,21,234,33,54,39,54,13,34,30,249,40,,,,,,,,,,,,,
Massachusetts,2015,9,03/07/2015,1239,1174,19,259,31,38,44,79,15,27,24,248,47,,,,,,,,,,,,,
Massachusetts,2015,10,03/14/2015,1248,1155,12,260,37,33,43,74,21,35,21,273,42,,,,,,,,,,,,,
Massachusetts,2015,11,03/21/2015,1204,1123,12,272,29,38,31,55,23,26,14,242,67,,,,,,,,,,,,,
Massachusetts,2015,12,03/28/2015,1210,1136,20,257,31,39,30,66,15,24,31,263,53,,,,,,,,,,,,,
Massachusetts,2015,13,04/04/2015,1216,1138,20,261,34,27,32,56,13,26,18,256,57,,,,,,,,,,,,,
Massachusetts,2015,14,04/11/2015,1190,1118,16,263,24,38,32,74,18,19,37,246,42,,,,,,,,,,,,,
Massachusetts,2015,15,04/18/2015,1188,1119,20,244,30,29,41,76,24,33,16,271,49,,,,,,,,,,,,,
Massachusetts,2015,16,04/25/2015,1156,1083,15,262,26,27,34,70,21,23,26,237,43,,,,,,,,,,,,,
Massachusetts,2015,17,05/02/2015,1152,1091,14,241,28,43,31,69,17,27,35,253,35,,,,,,,,,,,,,
Massachusetts,2015,18,05/09/2015,1184,1087,17,243,31,46,34,44,19,22,22,222,64,,,,,,,,,,,,,
Massachusetts,2015,19,05/16/2015,1100,1013,13,266,26,39,25,61,22,23,,216,48,,,,,,,,,,,Suppressed (counts 1-9),,
Massachusetts,2015,20,05/23/2015,1044,986,14,251,25,33,24,60,13,24,18,222,47,,,,,,,,,,,,,
Massachusetts,2015,21,05/30/2015,1081,1023,16,265,34,30,22,45,17,22,24,228,43,,,,,,,,,,,,,
Massachusetts,2015,22,06/06/2015,1000,920,15,231,16,24,16,48,14,33,27,210,40,,,,,,,,,,,,,
Massachusetts,2015,23,06/13/2015,1083,1010,23,275,19,29,20,42,20,11,40,217,47,,,,,,,,,,,,,
